index,nom_agence,ville,email,site_web,domaine,confiance_actuelle
1022,Agence les Mimosas,Noirmoutier,mimosas@immobilier-a-noirmoutier.com,https://immobilier-a-noirmoutier.com/v3/,immobilier-a-noirmoutier.com,MOYENNE
1062,Lj IMMO,Sainte-Geneviève,agence@lj-immo.com,https://www.lj-immo.fr/,lj-immo.fr,MOYENNE
1065,1001 Toits Immo,Qui,contact@1001-toits.fr,https://www.1001-toits.fr/,1001-toits.fr,MOYENNE
1071,Notre agence,Morangis,contact@l-limmobilier.com,https://www.limmobilier.fr/agence,limmobilier.fr,MOYENNE
1094,Cavalea — Horses Properties,Real Estate Agent Find,contact@cavalea-properties.com,https://cavalea-properties.com/,cavalea-properties.com,MOYENNE
1099,AB IMMOBILIER,Meaux,transaction@ab-immobilier.fr,https://www.ab-immobilier.fr/,ab-immobilier.fr,MOYENNE
1177,Immocorp,La Rochette,contact@agence-immocorp.com,https://www.agence-immocorp.com/,agence-immocorp.com,MOYENNE
1239,Notre agence,Châtillon,89immo-chatillon@wanadoo.fr,https://www.immobilier-89.com/agence,immobilier-89.com,MOYENNE
1257,Richalia Immo,Sainte-Geneviève,richalia.immo@hotmail.fr,https://www.richalia-immo.fr/,richalia-immo.fr,MOYENNE
1378,M&M Cabinet Immobilier,Brie-Comte-Robert,contact@cabinetmm.immo,https://www.cabinetmm.fr/,cabinetmm.fr,MOYENNE
1384,Le Petit Agent,Le Bouscat,agence@lepetitagent.fr,https://www.lepetitagent.fr/,lepetitagent.fr,MOYENNE
1417,IMMO7,Brignais,contact@immo7.fr,https://www.immo7.fr/,immo7.fr,MOYENNE
1418,LES CLÉS D'ALEXIA,Loire,alexiagelas@lesclesdalexia.com,http://lesclesdalexia.com/,lesclesdalexia.com,MOYENNE
1432,Notre agence,Longueau,heulin@hapimmobilier.com,https://www.hapimmobilier.com/notreagence,hapimmobilier.com,MOYENNE
1463,Arbonne,Arbonne,arbonne@agencesainthubert.com,https://www.arbonne.com/us/en,arbonne.com,MOYENNE
1489,Immograndlyon,Lyon,contact@immograndlyon.fr,https://www.immograndlyon.fr/,immograndlyon.fr,MOYENNE
1549,Gontel Monts d'Or,Saint-Didier,contact@gontel.co,https://www.gontel-immobilier.fr/agence-immobiliere-st-didier-au-mont-d-or/details/1/,gontel-immobilier.fr,MOYENNE
1580,GABAI-MAILLET & ROUSSET IMMOBILIER,Lyon,contact@gabai-maillet-rousset.fr,https://www.mpi-immo.com/agence-immobiliere-lyon-1er.html,mpi-immo.com,MOYENNE
1610,Annonay Immobilier,Hyères,contact@annonayimmobilier.com,https://www.annonayimmobilier.com/,annonayimmobilier.com,MOYENNE
1614,AC Immobilier,St Etienne Tél,transactions@ac-immobilier.net,https://www.ac-immobilier.net/,ac-immobilier.net,MOYENNE
1671,Notre agence,Nice,helene@reussiteimmo.fr,https://immonice06.fr/fr/notre-agence,immonice06.fr,MOYENNE
1683,Cabinet Scarsini,Le Cannet Un,cabinet@scarsini.fr,https://www.scarsini.fr/,scarsini.fr,MOYENNE
1745,AMB Gestion,Chambre,raphael.dasilva@ambgestion.com,https://www.ambgestion.com/,ambgestion.com,MOYENNE
1752,Talbotier Immobilier,Chamalières Talbotier Immobilier,talbotierimmobilier@talbotier.com,https://www.immobilier-ceyrat-chamalieres.com/,immobilier-ceyrat-chamalieres.com,MOYENNE
1753,Immo HA,Cébazat,contact@immo-ha.fr,https://www.immo-ha.fr/,immo-ha.fr,MOYENNE
1763,Dom Immobilier,La Bourboule,domimmobilier@orange.fr,https://www.agencedomimmobilier.com/,agencedomimmobilier.com,MOYENNE
1839,L'Immo,Valence France,limmo.valence@gmail.com,https://www.limmovalence.com/fr/,limmovalence.com,MOYENNE
1841,Immo Pass Conseils,Lyon,contact@immopassconseils.fr,https://www.immopassconseils.fr/,immopassconseils.fr,MOYENNE
1889,Les Terrasses Immobilier,Montélimar,contact@lesterrassesimmo.fr,https://lesterrassesimmo.fr/,lesterrassesimmo.fr,MOYENNE
1902,Bonjour Immobilier,Bourg-En-Bresse,bonjourimmobilier@orange.fr,https://www.bonjour-immobilier.com/,bonjour-immobilier.com,MOYENNE
1961,Accord Immobilier,Aurillac,contacts@accord-immobilier15.com,https://www.accord-immobilier15.com/,accord-immobilier15.com,MOYENNE
1984,Immo Partenaires,Saint-Pourçain Sur Sioule,immopartenaires@gmail.com,https://www.immopartenaires.fr/,immopartenaires.fr,MOYENNE
2006,Le TUC IMMO,Châtel-Guyon,riom@letuc.com,https://chatel.letuc.com/,chatel.letuc.com,MOYENNE
2049,Notre agence,Marseille,contact@immobonnemere.fr,https://immobonnemere.fr/fr/notre-agence,immobonnemere.fr,MOYENNE
2057,Notre agence,Marseille,contact@immobonnemere.fr,https://immobonnemere.fr/fr/notre-agence,immobonnemere.fr,MOYENNE
2121,Ava Immobilier,Adresse,agences@ava-immobilier.com,https://www.ava-immobilier.com/,ava-immobilier.com,MOYENNE
2180,Charlemagne Immobilier,Saint-Chaffrey,contact@agence-charlemagne.fr,https://www.agence-charlemagne.com/,agence-charlemagne.com,MOYENNE
2183,MP Immobilier,Nos,mp-immobilier@wanadoo.fr,https://www.mp-immobilier.fr/,mp-immobilier.fr,MOYENNE
2223,Revell Immo Gestion,Nice,revellimmo@orange.fr,https://www.revellimmo.fr/,revellimmo.fr,MOYENNE
2249,Authentique Immo,Chamalières Tél,contact@authentique.immo,https://www.authentique-immo.fr/,authentique-immo.fr,MOYENNE
2295,Delta Immobilier,Mehun,contact@deltaimmobilier.com,https://www.deltaimmobilier.com/,deltaimmobilier.com,MOYENNE
2316,Immo Consult Côté Sud,Nice,iccs.immo@gmail.com,https://www.immoconsultcotesud.com/,immoconsultcotesud.com,MOYENNE
2329,Madie Real Estate services,Nice,mickael@madieimmobilier.fr,https://www.madieimmobilier.fr/,madieimmobilier.fr,MOYENNE
2338,L'Agence Saint Roch,Montpellier,contact.transac@agence-saint-roch.fr,https://www.agence-saint-roch.fr/,agence-saint-roch.fr,MOYENNE
2352,ABI IMMOBILIER,Paris,contact@abi-immo.com,https://www.abi.immo/,abi.immo,MOYENNE
2368,Wb immobilier,Grasse,info@wb-immo.com,https://www.wb-immo.com/,wb-immo.com,MOYENNE
2376,Trinimmo,Saint,info@trinimmo.com,https://trinimmo.com/fr/,trinimmo.com,MOYENNE
2394,Agence Joly,La Seyne,contact@agencejoly.com,https://www.agencejoly.com/,agencejoly.com,MOYENNE
2403,New Style Immo,La Seyne,contact@newstyleimmo.fr,https://www.newstyleimmo.fr/,newstyleimmo.fr,MOYENNE
2410,Atrio Immobilier,Saint Laurent,info@atrioimmobilier.com,https://www.atrioimmobilier.com/,atrioimmobilier.com,MOYENNE
2448,Ludovic Souchon Immobilier,Aubagne,contact@souchonimmobilier.fr,https://www.souchonimmobilier.fr/,souchonimmobilier.fr,MOYENNE
2466,Rocchia Immobilier,Wellness Way,contact@rocchiaimmobilier.com,https://rocchiaimmobilier.com/,rocchiaimmobilier.com,MOYENNE
2469,fip - fabre immobilier prestige,Aix,fabre@fabreimmo.com,https://www.fabreimmo.com/,fabreimmo.com,MOYENNE
2509,Home,Avignon France,contact@agencesaint-didier.fr,https://agencesaintdidier.fr/en/,agencesaintdidier.fr,MOYENNE
2516,Notre agence,Vedène,contact@sainteanne-immobilier.fr,https://www.sainteanne-immobilier.com/notre-agence.html,sainteanne-immobilier.com,MOYENNE
2554,Europagence,Monaco,contact@europagence.mc,https://www.europagence.mc/,europagence.mc,MOYENNE
2576,Plein sud immo,Valbonne,contact@pleinsudimmo.com,https://www.pleinsudimmo.com/,pleinsudimmo.com,MOYENNE
2616,Baudoin Immobilier,Cannes,info@baudoin-immo.com,https://www.baudoin-immo.com/,baudoin-immo.com,MOYENNE
2631,home,Cannes France,contact@intuition.immo,https://intuition.immo/en/,intuition.immo,MOYENNE
2647,L'équipe,Saint Raphaël,contact@andelim.com,https://www.andelim.com/equipe,andelim.com,MOYENNE
2650,Immobilière Olivier,Le Bourg,contact@immobilier-olivier.com,https://immobiliere-olivier.fr/fr/,immobiliere-olivier.fr,MOYENNE
2661,B2L immobilier,Truchtersheim Depuis,b.ludwig@b2l-immobilier.fr,https://www.b2l-immobilier.fr/,b2l-immobilier.fr,MOYENNE
2673,Quietis Gestion,Puteaux,quietisimmobilier@gmail.com,https://www.quietisgestion.com/,quietisgestion.com,MOYENNE
2735,IMMOBILIERE DES ALPILLES,Eygalières Tél,immo-alpilles@orange.fr,https://www.immo-alpilles.com/,immo-alpilles.com,MOYENNE
2740,L'Immobilière Pauvert,Châteauneuf-Grasse,contact@immopauvert.com,https://www.limmobilierepauvert.fr/,limmobilierepauvert.fr,MOYENNE
2755,Notre agence,Aubagne,bressonimmobilier@orange.fr,https://www.immobresson.com/l-agence,immobresson.com,MOYENNE
2770,Voltaire Immobilier,Hours Of Operation,contact@voltaireimmo.com,https://www.voltaireimmo.com/,voltaireimmo.com,MOYENNE
2777,MV Immobilier,Châteaurenard,contact@immobilier-mv.com,https://www.immobilier-mv.com/,immobilier-mv.com,MOYENNE
2787,Destination Riviera,Roquebrune Cap Martin,contact@destination-riviera.com,https://www.destination-riviera.com/,destination-riviera.com,MOYENNE
2809,Idimmo,Draguignan,draguignan@idimmo.net,https://draguignan.idimmo.net/,draguignan.idimmo.net,MOYENNE
2819,GRISONE Immobilier,Confiez,melanie@grisone-immobilier.com,https://www.grisone-immobilier.com/,grisone-immobilier.com,MOYENNE
2891,Cristal Immo,Vence,contact@cristal-immobilier.fr,https://www.cristal-immobilier.fr/,cristal-immobilier.fr,MOYENNE
2914,Seb Immo,Ligny,sebastien@sebimmo.fr,https://www.sebimmo.fr/,sebimmo.fr,MOYENNE
2935,Bienvenue,Toulouse,a.ginesty@accedia-immobilier.com,https://www.accedia-immobilier.com/bienvenue,accedia-immobilier.com,MOYENNE
2996,TACCHINI IMMOBILIER,Les,tacchini-immobilier@orange.fr,https://www.tacchini-immobilier.com/,tacchini-immobilier.com,MOYENNE
3036,AO IMMOBILIER,Montpellier,contact@aoimmobilier.com,https://www.aoimmobilier.com/,aoimmobilier.com,MOYENNE
3050,AB Transaction,Meaux,contact@immobilier-ab.com,https://www.abtransaction.com/,abtransaction.com,MOYENNE
3081,L'agence ROXIM,Fréjus,agenceroxim@roxim.com,https://agenceroxim.com/,agenceroxim.com,MOYENNE
3121,DG Immobilier,Nîmes,contact@dgimmobilier.com,https://dg-immobilier.com/,dg-immobilier.com,MOYENNE
3185,Sylvie Lozano Immo,Westwood Loop San Antonio,sl@sylvielozanoimmo.com,https://www.lozano-immo.com/,lozano-immo.com,MOYENNE
3187,Notre agence,Elne Société,ifac.elne@gmail.com,https://www.ifac.fr/notre-agence,ifac.fr,MOYENNE
3191,Accord Immobilier,Béziers,contact@accordimmo34.com,http://www.accordimmo34.com/,accordimmo34.com,MOYENNE
3207,AGENCE DU MIDI,Website,contact@agence-du-midi.com,https://www.cotedumidi.com/sit/orglar011v501nid-agence-du-midi/,cotedumidi.com,MOYENNE
3230,Notre agence,Marssac,contact@run-immobilier.fr,https://www.run-immobilier.fr/agence,run-immobilier.fr,MOYENNE
3299,MGB Concept,Luc,c.mazenc@mgb-immoconcept.fr,https://www.mgb-immoconcept.fr/,mgb-immoconcept.fr,MOYENNE
3349,Déclic Immo,Bouliac,centredeclicimmo33@declic.immo,https://centreimmobilier33-gironde.declic.immo/,centreimmobilier33-gironde.declic.immo,MOYENNE
3378,Agence de La Madeleine,La Madeleine,contact@agencedelamadeleine.com,https://www.agencedelamadeleine.com/,agencedelamadeleine.com,MOYENNE
3395,Altura Gestion,événement,sophie@altura-gestion.fr,https://altura-gestion.fr/,altura-gestion.fr,MOYENNE
3414,At Home Immobilier,Saint-Chamond,contact@athomeimmobilier.fr,https://www.athomeimmobilier.fr/,athomeimmobilier.fr,MOYENNE
3433,Notre agence,Longueau,heulin@hapimmobilier.com,https://www.hapimmobilier.com/notreagence,hapimmobilier.com,MOYENNE
3494,Willocq Immobilier,Arras Nous,e.willocq@willocq-immobilier.fr,https://www.willocq-immobilier.fr/,willocq-immobilier.fr,MOYENNE
3499,Immobiliere De France,Boulogne,immobilieredefrance@orange.fr,https://immobilieredefrance.com/fr/,immobilieredefrance.com,MOYENNE
3512,Agence de la Côte d'Opale,La Capelle,contact@agencecotedopale.fr,https://www.agencecotedopale.fr/,agencecotedopale.fr,MOYENNE
3572,Châtel Immobilier,Senlis,contact@chatelimmobilier.fr,https://www.chatelimmobilier.fr/,chatelimmobilier.fr,MOYENNE
3577,La Chênaie IMMObilier,Saverne,contact@lcimmo67.fr,https://www.lachenaieimmobilier.fr/agence/lachenaieimmobilier/,lachenaieimmobilier.fr,MOYENNE
3589,AIK Agence Immobilière du Kochersberg,Strasbourg,secretariat@aik-immo.com,https://www.aik-immo.com/,aik-immo.com,MOYENNE
3618,Grand Large Immobilier,Le Grau,contact@grand-large-immobilier.fr,https://grand-large-immobilier.fr/,grand-large-immobilier.fr,MOYENNE
3622,Notre agence,Matzenheim,contact@dehedin.immo,https://www.dehedin.immo/notre-agence,dehedin.immo,MOYENNE
3653,ABEL IMMOBILIER,Metz,agence@abel-immo.fr,https://www.abel-immo.fr/,abel-immo.fr,MOYENNE
3656,Heideiger Immobilier,Sarlat,cedric@h-immo.com,https://h-immo.com/,h-immo.com,MOYENNE
3677,Agence Saint louis,Saint-Louis,agence-stlouis@wanadoo.fr,https://agencestlouis.fr/,agencestlouis.fr,MOYENNE
3679,active immo,Marseille,agence.activeimmo@gmail.com,https://www.active-immo.fr/,active-immo.fr,MOYENNE
3690,ADN Immo,Mulhouse,contact@adn-immobilier.com,https://www.adn-immobilier.com/,adn-immobilier.com,MOYENNE
3708,Edmond Immobilier,Mulhouse,contact@edmondimmobilier.fr,https://www.edmondimmobilier.fr/,edmondimmobilier.fr,MOYENNE
3735,Collin Immobilier,Luneville,immo.collin@wanadoo.fr,https://collin-immobilier.com/collin-immo/,collin-immobilier.com,MOYENNE
3759,LCE Immobilier Transactions,Saintry-Sur-Seine,agence@lceimmobiliertransactions.com,https://www.lceimmobiliertransactions.com/,lceimmobiliertransactions.com,MOYENNE
3773,The Good Place,Aix,contact@goodplace.immo,https://goodplace.immo/fr/,goodplace.immo,MOYENNE
3786,Notre agence,Chalons,immo.service.51@orange.fr,https://www.immoservices51.com/content/10/notre-agence.html,immoservices51.com,MOYENNE
3800,Notre agence,Geispolsheim,contact@agenceicidemain.fr,https://www.agenceicidemain.fr/content/3/notre-agence.html,agenceicidemain.fr,MOYENNE
3802,Immobilier conseil,Andlau,audrey@immobilier-conseil67.fr,https://www.immobilier-conseil67.fr/,immobilier-conseil67.fr,MOYENNE
3852,Cabinet HL Immobilier,La Loi,contact@hl-immo.fr,https://www.hl-immo.fr/,hl-immo.fr,MOYENNE
3905,L'immobilière de Larroche Baron,Bordeaux,immobiliere.dlb@orange.fr,https://www.immobilieredlb.fr/,immobilieredlb.fr,MOYENNE
3937,adp immobilier tertiaire,Neuville,contact@adp-immobilier.com,https://www.societe.com/societe/adp-immobilier-tertiaire-509128203.html,societe.com,MOYENNE
3942,Déclic Immo,Poitiers,centredeclicimmo86@declic.immo,https://centreimmobilier86-vienne.declic.immo/,centreimmobilier86-vienne.declic.immo,MOYENNE
3967,C2m Immobilier,Pau,c.r@c2m.immo,https://www.c2m.immo/,c2m.immo,MOYENNE
4004,Agence Atlantique: immobilier,Saint Pierre,contact@agenceatlantique.fr,https://www.agenceatlantique.fr/,agenceatlantique.fr,MOYENNE
4005,Agence de l'Abbaye,Saintes,contact@agencedelabbaye.net,https://agencedelabbaye.net/,agencedelabbaye.net,MOYENNE
4010,Notre agence,La Roche,contact@laclefacile.fr,https://www.laclefacile.fr/notre-agence,laclefacile.fr,MOYENNE
4041,Notre agence,Niort,egault@agence-eclore.com,https://www.agence-eclore.com/notre-agence,agence-eclore.com,MOYENNE
4061,LUMA,Bayonne,contact@luma-immo.fr,https://luma-immobilier.com/,luma-immobilier.com,MOYENNE
4064,Cabinet Dieumegard,La Crèche,contact@dieumegard.com,https://www.dieumegard.com/,dieumegard.com,MOYENNE
4130,La Tribune de l'Immobilier,Agen,contact@ltimmo.fr,https://www.latribunedelimmobilier.fr/,latribunedelimmobilier.fr,MOYENNE
4151,Fayard Immobilier,La,fayardimmobilier@orange.fr,https://www.fayard-immobilier.com/,fayard-immobilier.com,MOYENNE
4157,Notre agence,Gradignan,romain.berrocal@gmail.com,https://www.rbimmobilier.net/content/3/notre-agence.html,rbimmobilier.net,MOYENNE
4171,Pop Home,Mehun,monagence@pophome.fr,https://fr.linkedin.com/company/pop-home,fr.linkedin.com,MOYENNE
4180,Lainé immobilier,Prigonrieux,contact@laine-immobilier.com,https://www.laine-immobilier.com/,laine-immobilier.com,MOYENNE
4203,Chris'immo,Gramat,chrisimmo@orange.fr,https://www.intramuros.org/fiche/acteur/170257,intramuros.org,MOYENNE
4252,Lemaitre Immobilier,La Palmyre,sandra@lemaitreimmobilier.fr,https://www.lemaitreimmobilier.fr/,lemaitreimmobilier.fr,MOYENNE
4286,MG IMMOBILIER,Nantes Tél,contact@mg-immo.fr,https://www.mg-immobilier.com/,mg-immobilier.com,MOYENNE
4328,Thalassa Immobilier,Voir,contact@agence-thalassa.fr,https://www.immocean.fr/,immocean.fr,MOYENNE
4359,Saint-Nazaire Immo,Saint-Nazaire,saintnazaireimmo@gmail.com,https://saint-nazaire-immo.fr/fr/,saint-nazaire-immo.fr,MOYENNE
4385,Concept Immo,Concarneau,contact@conceptimmo.bzh,https://www.conceptimmo.bzh/,conceptimmo.bzh,MOYENNE
4406,ADN Immo,Pornic,contact@adnimmobilier.fr,https://www.adn-immobilier.com/,adn-immobilier.com,MOYENNE
4437,LA TURBALLE IMMOBILIER,La Turballe Tél,la.turballe.immobilier@wanadoo.fr,https://la-turballe-immobilier.com/fr/,la-turballe-immobilier.com,MOYENNE
4491,Notre agence,Le Mesnil Esnard,contact@jaderoimmobilier.com,https://www.jaderoimmobilier.com/content/1/notre-agence.html,jaderoimmobilier.com,MOYENNE
4515,L'Agence,Pont,contact@lagence-pontleveque.com,https://lagence-pontleveque.com/,lagence-pontleveque.com,MOYENNE
4522,AS Immobilier,Dieppe,as-immobilier.clb@live.fr,https://www.asimmodieppe.fr/,asimmodieppe.fr,MOYENNE
4553,Demeures du Perche et de Normandie,Nogent,agence@demeuresduperche.fr,https://demeures-perche-normandie.fr/,demeures-perche-normandie.fr,MOYENNE
4649,Duo Immo,Port,contact@duo-immo.fr,https://www.duo-immo.fr/,duo-immo.fr,MOYENNE
4671,Homilie,Bléré,c.haton@homilie.fr,https://www.homilie.fr/,homilie.fr,MOYENNE
4689,Immobiliere Remangeon,Lamotte Beuvron,agence@immo-remangeon.fr,https://www.immobiliere-remangeon.fr/,immobiliere-remangeon.fr,MOYENNE
2894,Votre Bien: immobilier,Manosque,manosque@votrebien-immo.fr,https://www.votrebien-immo.fr/,votrebien-immo.fr,MOYENNE
3066,Guylène Bergé Immobilier,Montpellier,management@gb-immobilier.com,https://www.gb-immobilier.com/,gb-immobilier.com,MOYENNE
3136,Guylène Bergé Immobilier,Montpellier,management@gb-immobilier.com,https://www.gb-immobilier.com/,gb-immobilier.com,MOYENNE
4058,Manoir de France,Adresse,gerance@manoirdefrance.com,https://www.manoirdefrance.fr/,manoirdefrance.fr,MOYENNE
3235,Déclic Immo,Changé,centredeclicimmo81@declic.immo,https://centreimmobilier17-charentemaritime.declic.immo/,centreimmobilier17-charentemaritime.declic.immo,MOYENNE
3588,Une nouvelle conception de l'immobilier,Clermont,k.concept.immo@gmail.com,http://k.concept.immo.free.fr/accueil.html,k.concept.immo.free.fr,MOYENNE
406,Agence Immobilière de la Vallée de la Bièvre,Troisfontaines,agence@immodelavallee.fr,https://www.immodelavallee.fr/,immodelavallee.fr,MOYENNE
865,SOLIHA » Solidaires pour l'habitat,Évry,contact@soliha-ais-idf.fr,https://soliha.fr/,soliha.fr,MOYENNE
256,L'Agence des Gobelins,Paris,contact@agencedesgobelins.fr,https://agencedesgobelins.fr/,agencedesgobelins.fr,MOYENNE
1708,PATRICK GAILLARD & ASSOCIÉS,Grenoble,contact@patrickgaillard.fr,http://fpifrance.fr/promoteurs/patrick-gaillard-associes,fpifrance.fr,MOYENNE
3223,Cabinet Immo et Conseil,Alès France,contact@immoetconseil.com,https://immoetconseil.com/fr/,immoetconseil.com,MOYENNE
3383,L'Agence de Lille,County Road,contact@lagencedelille.com,https://www.lagencedelille.com/,lagencedelille.com,MOYENNE
126,L'agence - Bordeaux,Paris,contact@jltransactions.com,https://jltransactions.com/agence,jltransactions.com,MOYENNE
886,Agence immobilière de la Fontaine - Pithiviers,Pithiviers,pithiviers@agencedelafontaine.fr,https://www.agencedelafontaine.fr/,agencedelafontaine.fr,MOYENNE
4279,Flat & House Humaimbilier,Nantes,Mk@flatandhouse.fr,https://www.flatandhouse-agence.immo/,flatandhouse-agence.immo,MOYENNE
106,L'agence - CLARET IMMOBILIER,Paris,CONTACT@CLARETIMMOBILIER.COM,https://claretimmobilier.com/lagence/,claretimmobilier.com,MOYENNE
1404,immobilier | RODA IMMOBILIER,Chatillon,chatillon@rodaimmobilier.fr,https://www.rodaimmobilier.fr/,rodaimmobilier.fr,MOYENNE
2629,Opportunité Immobilière,Le Cannet,info@lopportunite-immobiliere.com,https://www.lopportunite-immobiliere.com/,lopportunite-immobiliere.com,MOYENNE
2667,Société LES CONCIERGES DE TAMARIS,La Seyne,contact@lesconciergesdetamaris.com,https://www.pappers.fr/entreprise/les-concierges-de-tamaris-921496980,pappers.fr,MOYENNE
4606,Dr House Immo,Boulogne Billancourt,agence@drhouse-immo.com,https://www.drhouse-immo.com/,drhouse-immo.com,MOYENNE
4659,L'ADN Immo - L'Agence des Négociateurs Immo,Orléans Outils,contact@ladnimmo.com,https://ladnimmo.com/,ladnimmo.com,MOYENNE
13,1000 et Une Proriétés,Saint Jean,michel.orivel@orange.fr,https://www.1000etuneproprietes.com/,1000etuneproprietes.com,MOYENNE
198,AJC Immobilier: immobilier,Le Raincy,immo.ajc@wanadoo.fr,http://www.agence-ajc.com/,agence-ajc.com,MOYENNE
4139,Peres Immobilier,Hendaye,agence@peresimmobilier.fr,https://peresimmobilier.com/,peresimmobilier.com,MOYENNE
4197,Stephanie Leger Immobilier,Plassay,contact@stephanielegerimmobilier.fr,https://www.stephanielegerimmobilier.fr/,stephanielegerimmobilier.fr,MOYENNE
410,De Monts Immobilier,Paris,contact@demontsimmobilier.fr,https://www.demontsimmobilier.fr/,demontsimmobilier.fr,MOYENNE
1247,Agence Saint Martin: immobilier,Marigot,immo.saint.martin@orange.fr,https://www.agence-saint-martin.fr/,agence-saint-martin.fr,MOYENNE
2350,postillon-immobilier.fr,Cannes,n.postillon@postillon-immobilier.fr,https://www.postillon-immobilier.fr/fr/,postillon-immobilier.fr,MOYENNE
2826,Croix Valmer Immobilier,La Croix-Valmer Phone,croixvalmerimmobilier@gmail.com,https://www.infobel.com/fr/france/croix_valmer_immobilier/la_croix_valmer/FR114089230-0494551088/businessdetails.aspx,infobel.com,MOYENNE
4352,Declic Immo - 85 - Déclic Immo,La Roche,centredeclicimmo85@declic.immo,https://centreimmobilier85-vendee.declic.immo/,centreimmobilier85-vendee.declic.immo,MOYENNE
1723,Agence immobilière Agence Du Sud Est,Aix,contact@agsudest.com,https://agsudest.com/fr/,agsudest.com,MOYENNE
2284,Agence immobilière Nice | Agence du Centre,Nice,claire@agenceducentrenice.com,https://www.agenceducentrenice.com/,agenceducentrenice.com,MOYENNE
2580,About AGENCE DU CANNET,Le Cannet,contact@agenceducannet.com,https://www.agenceducannet.com/index.php?action=agency&clangue=en,agenceducannet.com,MOYENNE
2146,Les 4 Chemins de l'Immobilier,Châteauneuf,contact@4cheminsimmobilier.com,https://www.4cheminsimmobilier.com/,4cheminsimmobilier.com,MOYENNE
2816,Nos biens immobiliers,Six-Fours-Les-Plages,contact@imozen.fr,https://www.imozen.fr/vente/1,imozen.fr,MOYENNE
3986,FNAIM Fédération Nationale de l'Immobilier - fnaim.fr,Paris,contact@fnaim.fr,https://www.fnaim.fr/,fnaim.fr,MOYENNE
4189,immobilier - Bordeaux,Le Bouscat,contact@monique-lecomte.com,https://www.monique-lecomte.fr/ville_bien/+_1___/immobilier.html,monique-lecomte.fr,MOYENNE
4269,Crédit Agricole Immobilier,Saint-Sébastien,contact@ca-immobilier.com,https://www.ca-immobilier.fr/,ca-immobilier.fr,MOYENNE
4560,Agence immobilière Fécamp | Agence du Centre,Fécamp,contact@agenceducentre.net,https://www.agenceducentre.net/,agenceducentre.net,MOYENNE
4569,CD Immobilier 21,Dijon,contact@cdimmobilier.fr,https://www.cdimmobilier.fr/,cdimmobilier.fr,MOYENNE
4571,Agence immobilière Fécamp | Agence du Centre,Fécamp,contact@agenceducentre.net,https://www.agenceducentre.net/,agenceducentre.net,MOYENNE
258,Mon-agence.fr,Profil,contact@mon-agence.fr,https://www.mon-agence.fr/,mon-agence.fr,MOYENNE
